Fwd_Rate	Rev_Rate	Net_Rate	PEI	Reaction_String
4.79E-06	4.80E-06	-1.13E-08	4.99E-01	H1356PCOH(S) + PT(S) <=> H135PCOH(S) + H(S) + PT(B)
2.99E-06	2.99E-06	-3.46E-09	5.00E-01	H1356PCOH(S) + 2 PT(S) <=> H136PCOH(S) + H(S) + 2 PT(B)
9.17E-06	9.17E-06	-2.86E-10	5.00E-01	H1356PCOH(S) + PT(S) <=> H156PCOH(S) + H(S) + PT(B)
3.58E-03	3.58E-03	1.51E-08	5.00E-01	H1356PCOH(S) + PT(S) <=> H356PCOH(S) + H(S) + PT(B)
1.73E-07	1.74E-07	-3.57E-10	4.99E-01	H1456PCOH(S) <=> H145PCOH(S) + H(S)
2.63E-08	2.63E-08	-1.61E-11	5.00E-01	H1456PCOH(S) <=> H146PCOH(S) + H(S)
1.66E-07	1.66E-07	1.98E-11	5.00E-01	H1456PCOH(S) <=> H156PCOH(S) + H(S)
3.77E-06	3.77E-06	3.52E-10	5.00E-01	H1456PCOH(S) + PT(S) <=> H456PCOH(S) + H(S) + PT(B)
7.16E-07	7.16E-07	-1.08E-10	5.00E-01	H2345PCOH(S) + 3 PT(S) <=> H234PCOH(S) + H(S) + 3 PT(B)
1.31E-05	1.32E-05	-1.64E-08	5.00E-01	H2345PCOH(S) + 2 PT(S) <=> H235PCOH(S) + H(S) + 2 PT(B)
1.06E-05	1.06E-05	-1.54E-08	5.00E-01	H2345PCOH(S) + 2 PT(S) <=> H245PCOH(S) + H(S) + 2 PT(B)
1.72E-06	1.73E-06	-6.89E-09	4.99E-01	H2345PCOH(S) + 2 PT(S) <=> H345PCOH(S) + H(S) + 2 PT(B)
9.46E-08	9.48E-08	-2.54E-10	4.99E-01	H2346PCOH(S) + 2 PT(S) <=> H234PCOH(S) + H(S) + 2 PT(B)
1.30E-06	1.30E-06	-1.48E-09	5.00E-01	H2346PCOH(S) + PT(S) <=> H236PCOH(S) + H(S) + PT(B)
4.85E-06	4.85E-06	-1.41E-09	5.00E-01	H2346PCOH(S) + PT(S) <=> H246PCOH(S) + H(S) + PT(B)
7.31E-07	7.34E-07	-2.95E-09	4.99E-01	H2346PCOH(S) + PT(S) <=> H346PCOH(S) + H(S) + PT(B)
4.11E-06	4.11E-06	-9.09E-09	4.99E-01	H2356PCOH(S) + 2 PT(S) <=> H235PCOH(S) + H(S) + 2 PT(B)
3.08E-06	3.08E-06	1.31E-09	5.00E-01	H2356PCOH(S) + 2 PT(S) <=> H236PCOH(S) + H(S) + 2 PT(B)
6.99E-05	6.99E-05	2.96E-08	5.00E-01	H2356PCOH(S) + PT(S) <=> H256PCOH(S) + H(S) + PT(B)
7.60E-05	7.61E-05	-8.03E-08	5.00E-01	H2356PCOH(S) + PT(S) <=> H356PCOH(S) + H(S) + PT(B)
1.72E-06	1.73E-06	-6.61E-09	4.99E-01	H2456PCOH(S) + PT(S) <=> H245PCOH(S) + H(S) + PT(B)
1.26E-04	1.26E-04	-1.72E-08	5.00E-01	H2456PCOH(S) + PT(S) <=> H246PCOH(S) + H(S) + PT(B)
3.64E-05	3.64E-05	-3.58E-08	5.00E-01	H2456PCOH(S) <=> H256PCOH(S) + H(S)
2.30E-06	2.31E-06	-5.83E-09	4.99E-01	H2456PCOH(S) + PT(S) <=> H456PCOH(S) + H(S) + PT(B)
1.81E-06	1.81E-06	-7.22E-09	4.99E-01	H3456PCOH(S) + 2 PT(S) <=> H345PCOH(S) + H(S) + 2 PT(B)
5.80E-06	5.81E-06	-8.66E-09	5.00E-01	H3456PCOH(S) + 2 PT(S) <=> H346PCOH(S) + H(S) + 2 PT(B)
2.55E-04	2.55E-04	-2.13E-08	5.00E-01	H3456PCOH(S) + PT(S) <=> H356PCOH(S) + H(S) + PT(B)
1.48E-05	1.48E-05	-2.15E-09	5.00E-01	H3456PCOH(S) + 2 PT(S) <=> H456PCOH(S) + H(S) + 2 PT(B)
8.28E-10	9.35E-10	-1.07E-10	4.70E-01	H123PCOH(S) + PT(S) <=> H12PCOH(S) + H(S) + PT(B)
3.24E-09	3.26E-09	-2.21E-11	4.98E-01	H123PCOH(S) <=> H13PCOH(S) + H(S)
3.10E-10	3.37E-10	-2.76E-11	4.79E-01	H123PCOH(S) + 2 PT(S) <=> H23PCOH(S) + H(S) + 2 PT(B)
1.55E-09	1.76E-09	-2.01E-10	4.70E-01	H124PCOH(S) + 2 PT(S) <=> H12PCOH(S) + H(S) + 2 PT(B)
1.57E-11	1.82E-11	-2.47E-12	4.64E-01	H124PCOH(S) + 2 PT(S) <=> H14PCOH(S) + H(S) + 2 PT(B)
1.45E-08	1.88E-08	-4.34E-09	4.35E-01	H124PCOH(S) + PT(S) <=> H24PCOH(S) + H(S) + PT(B)
5.93E-09	6.69E-09	-7.62E-10	4.70E-01	H125PCOH(S) + PT(S) <=> H12PCOH(S) + H(S) + PT(B)
2.64E-08	2.66E-08	-1.62E-10	4.98E-01	H125PCOH(S) <=> H15PCOH(S) + H(S)
1.55E-09	1.73E-09	-1.88E-10	4.71E-01	H125PCOH(S) + 2 PT(S) <=> H25PCOH(S) + H(S) + 2 PT(B)
2.03E-08	2.30E-08	-2.69E-09	4.69E-01	H126PCOH(S) + PT(S) <=> H12PCOH(S) + H(S) + PT(B)
1.40E-07	1.40E-07	-1.84E-10	5.00E-01	H126PCOH(S) <=> H16PCOH(S) + H(S)
5.47E-05	5.47E-05	4.40E-09	5.00E-01	H126PCOH(S) <=> H26PCOH(S) + H(S)
1.17E-08	1.17E-08	-6.73E-11	4.99E-01	H134PCOH(S) + PT(S) <=> H13PCOH(S) + H(S) + PT(B)
3.01E-11	3.48E-11	-4.68E-12	4.64E-01	H134PCOH(S) + 2 PT(S) <=> H14PCOH(S) + H(S) + 2 PT(B)
1.27E-07	1.28E-07	-1.16E-10	5.00E-01	H134PCOH(S) + PT(S) <=> H34PCOH(S) + H(S) + PT(B)
2.87E-07	2.88E-07	-1.54E-09	4.99E-01	H135PCOH(S) + PT(S) <=> H13PCOH(S) + H(S) + PT(B)
3.27E-07	3.29E-07	-1.63E-09	4.99E-01	H135PCOH(S) + PT(S) <=> H15PCOH(S) + H(S) + PT(B)
1.71E-06	1.72E-06	-7.98E-09	4.99E-01	H135PCOH(S) + PT(S) <=> H35PCOH(S) + H(S) + PT(B)
8.27E-09	8.33E-09	-5.44E-11	4.98E-01	H136PCOH(S) <=> H13PCOH(S) + H(S)
1.46E-08	1.45E-08	3.05E-11	5.01E-01	H136PCOH(S) <=> H16PCOH(S) + H(S)
6.73E-09	7.54E-09	-8.09E-10	4.72E-01	H136PCOH(S) + PT(S) <=> H36PCOH(S) + H(S) + PT(B)
