Fwd_Rate	Rev_Rate	Net_Rate	PEI	Reaction_String
5.75E-09	5.75E-09	2.62E-13	5.00E-01	H156PCOH(S) + PT(S) <=> H16PCOH(S) + H(S) + PT(B)
5.52E-08	5.58E-08	-5.62E-10	4.97E-01	H156PCOH(S) + PT(S) <=> H56PCOH(S) + H(S) + PT(B)
1.15E-11	1.17E-11	-2.67E-13	4.94E-01	H234PCOH(S) + PT(S) <=> H23PCOH(S) + H(S) + PT(B)
1.97E-11	2.13E-11	-1.56E-12	4.81E-01	H234PCOH(S) + PT(B) <=> H24PCOH(S) + H(S) + PT(S)
9.06E-11	9.07E-11	-7.00E-14	5.00E-01	H234PCOH(S) + PT(B) <=> H34PCOH(S) + H(S) + PT(S)
6.72E-12	6.88E-12	-1.56E-13	4.94E-01	H235PCOH(S) + 2 PT(S) <=> H23PCOH(S) + H(S) + 2 PT(B)
4.69E-12	4.84E-12	-1.53E-13	4.92E-01	H235PCOH(S) + 2 PT(S) <=> H25PCOH(S) + H(S) + 2 PT(B)
4.51E-10	4.52E-10	-8.68E-13	5.00E-01	H235PCOH(S) <=> H35PCOH(S) + H(S)
6.17E-12	6.31E-12	-1.46E-13	4.94E-01	H236PCOH(S) + 2 PT(S) <=> H23PCOH(S) + H(S) + 2 PT(B)
4.77E-08	4.77E-08	4.66E-12	5.00E-01	H236PCOH(S) <=> H26PCOH(S) + H(S)
5.44E-11	5.62E-11	-1.79E-12	4.92E-01	H236PCOH(S) + PT(S) <=> H36PCOH(S) + H(S) + PT(B)
2.15E-10	2.32E-10	-1.70E-11	4.81E-01	H245PCOH(S) <=> H24PCOH(S) + H(S)
5.62E-12	5.81E-12	-1.84E-13	4.92E-01	H245PCOH(S) + 2 PT(S) <=> H25PCOH(S) + H(S) + 2 PT(B)
5.67E-10	5.67E-10	-3.00E-13	5.00E-01	H245PCOH(S) <=> H45PCOH(S) + H(S)
1.60E-10	1.72E-10	-1.27E-11	4.81E-01	H246PCOH(S) <=> H24PCOH(S) + H(S)
7.13E-01	7.13E-01	-1.24E-09	5.00E-01	H246PCOH(S) <=> H26PCOH(S) + H(S)
5.81E-12	6.27E-12	-4.61E-13	4.81E-01	H246PCOH(S) + PT(S) <=> H46PCOH(S) + H(S) + PT(B)
5.99E-12	6.19E-12	-1.99E-13	4.92E-01	H256PCOH(S) + 3 PT(S) <=> H25PCOH(S) + H(S) + 3 PT(B)
6.66E-08	6.66E-08	6.53E-12	5.00E-01	H256PCOH(S) + PT(S) <=> H26PCOH(S) + H(S) + PT(B)
1.63E-09	1.65E-09	-1.71E-11	4.97E-01	H256PCOH(S) + PT(S) <=> H56PCOH(S) + H(S) + PT(B)
8.42E-08	8.41E-08	2.77E-11	5.00E-01	H345PCOH(S) <=> H34PCOH(S) + H(S)
4.61E-08	4.61E-08	-4.66E-11	5.00E-01	H345PCOH(S) <=> H35PCOH(S) + H(S)
4.83E-08	4.83E-08	1.59E-11	5.00E-01	H345PCOH(S) <=> H45PCOH(S) + H(S)
8.82E-10	8.82E-10	-4.55E-13	5.00E-01	H346PCOH(S) <=> H34PCOH(S) + H(S)
6.35E-11	6.55E-11	-2.05E-12	4.92E-01	H346PCOH(S) + PT(S) <=> H36PCOH(S) + H(S) + PT(B)
6.98E-12	7.53E-12	-5.50E-13	4.81E-01	H346PCOH(S) + PT(S) <=> H46PCOH(S) + H(S) + PT(B)
5.72E-10	5.73E-10	-1.23E-12	4.99E-01	H356PCOH(S) + PT(S) <=> H35PCOH(S) + H(S) + PT(B)
7.50E-11	7.75E-11	-2.45E-12	4.92E-01	H356PCOH(S) + 2 PT(S) <=> H36PCOH(S) + H(S) + 2 PT(B)
1.62E-09	1.63E-09	-1.65E-11	4.97E-01	H356PCOH(S) + PT(S) <=> H56PCOH(S) + H(S) + PT(B)
1.06E-09	1.06E-09	-8.16E-13	5.00E-01	H456PCOH(S) <=> H45PCOH(S) + H(S)
1.46E-11	1.57E-11	-1.15E-12	4.81E-01	H456PCOH(S) + PT(S) <=> H46PCOH(S) + H(S) + PT(B)
2.85E-09	2.88E-09	-2.90E-11	4.97E-01	H456PCOH(S) <=> H56PCOH(S) + H(S)
7.48E-10	7.99E-10	-5.15E-11	4.83E-01	H12PCOH(S) + PT(S) <=> H1PCOH(S) + H(S) + PT(B)
1.56E-08	1.68E-08	-1.19E-09	4.82E-01	H12PCOH(S) + 2 PT(S) <=> H2PCOH(S) + H(S) + 2 PT(B)
2.14E-09	2.36E-09	-2.23E-10	4.75E-01	H13PCOH(S) + 2 PT(S) <=> H1PCOH(S) + H(S) + 2 PT(B)
5.94E-09	6.31E-09	-3.64E-10	4.85E-01	H13PCOH(S) + 2 PT(S) <=> H3PCOH(S) + H(S) + 2 PT(B)
5.68E-11	6.03E-11	-3.45E-12	4.85E-01	H14PCOH(S) + PT(S) <=> H1PCOH(S) + H(S) + PT(B)
4.55E-12	4.89E-12	-3.41E-13	4.82E-01	H14PCOH(S) + 2 PT(S) <=> H4PCOH(S) + H(S) + 2 PT(B)
5.72E-09	6.32E-09	-5.96E-10	4.75E-01	H15PCOH(S) + 2 PT(S) <=> H1PCOH(S) + H(S) + 2 PT(B)
7.04E-10	7.48E-10	-4.35E-11	4.85E-01	H15PCOH(S) + 3 PT(S) <=> H5PCOH(S) + H(S) + 3 PT(B)
3.24E-10	3.59E-10	-3.45E-11	4.75E-01	H16PCOH(S) + 2 PT(S) <=> H1PCOH(S) + H(S) + 2 PT(B)
1.13E-10	1.27E-10	-1.34E-11	4.72E-01	H16PCOH(S) + 3 PT(S) <=> H6PCOH(S) + H(S) + 3 PT(B)
6.20E-09	6.76E-09	-5.52E-10	4.79E-01	H23PCOH(S) + PT(S) <=> H2PCOH(S) + H(S) + PT(B)
8.24E-10	8.56E-10	-3.23E-11	4.90E-01	H23PCOH(S) <=> H3PCOH(S) + H(S)
5.03E-08	5.19E-08	-1.65E-09	4.92E-01	H24PCOH(S) + 3 PT(S) <=> H2PCOH(S) + H(S) + 3 PT(B)
1.93E-10	2.00E-10	-7.56E-12	4.90E-01	H24PCOH(S) + 3 PT(S) <=> H4PCOH(S) + H(S) + 3 PT(B)
