Species_name	Phase	Surf_cov	O	H	C	PT	N
H12356PCOH(S)	Surface	5.30365E-08	1	13	7	0	0
H12456PCOH(S)	Surface	5.29367E-07	1	13	7	0	0
H13456PCOH(S)	Surface	2.42113E-06	1	13	7	0	0
H23456PCOH(S)	Surface	9.90934E-07	1	13	7	0	0
MCHOH(S)	Surface	3.00962E-06	1	14	7	0	0
PC(S)	Surface	1.00015E-17	0	7	7	0	0
H2PC(S)	Surface	6.65989E-15	0	8	7	0	0
H3PC(S)	Surface	1.28E-13	0	8	7	0	0
H4PC(S)	Surface	2.0937E-19	0	8	7	0	0
H23PC(S)	Surface	2.18227E-12	0	9	7	0	0
H24PC(S)	Surface	3.39545E-17	0	9	7	0	0
H25PC(S)	Surface	2.18035E-15	0	9	7	0	0
H26PC(S)	Surface	1.68849E-17	0	9	7	0	0
H34PC(S)	Surface	3.82799E-13	0	9	7	0	0
H35PC(S)	Surface	9.96132E-14	0	9	7	0	0
H234PC(S)	Surface	3.44634E-10	0	10	7	0	0
H235PC(S)	Surface	1.24766E-08	0	10	7	0	0
H236PC(S)	Surface	3.60612E-12	0	10	7	0	0
H245PC(S)	Surface	1.22688E-08	0	10	7	0	0
H246PC(S)	Surface	1.73801E-10	0	10	7	0	0
H345PC(S)	Surface	6.76342E-11	0	10	7	0	0
H2345PC(S)	Surface	1.06296E-05	0	11	7	0	0
H2346PC(S)	Surface	2.04441E-10	0	11	7	0	0
H2356PC(S)	Surface	7.28027E-10	0	11	7	0	0
H23456PC(S)	Surface	1.23727E-06	0	12	7	0	0
TOL(S)	Surface	1.24505E-08	0	8	7	0	0
H1TOL(S)	Surface	6.71947E-08	0	9	7	0	0
H2TOL(S)	Surface	6.69022E-10	0	9	7	0	0
H3TOL(S)	Surface	3.38258E-09	0	9	7	0	0
H4TOL(S)	Surface	3.11303E-10	0	9	7	0	0
H12TOL(S)	Surface	5.72572E-08	0	10	7	0	0
H13TOL(S)	Surface	7.17959E-08	0	10	7	0	0
H14TOL(S)	Surface	1.7215E-12	0	10	7	0	0
H23TOL(S)	Surface	6.03983E-10	0	10	7	0	0
H24TOL(S)	Surface	2.85513E-09	0	10	7	0	0
H25TOL(S)	Surface	1.48671E-08	0	10	7	0	0
H26TOL(S)	Surface	1.74103E-10	0	10	7	0	0
H34TOL(S)	Surface	7.6673E-12	0	10	7	0	0
H35TOL(S)	Surface	2.05052E-08	0	10	7	0	0
H123TOL(S)	Surface	0.001892721	0	11	7	0	0
H124TOL(S)	Surface	0.000467849	0	11	7	0	0
H125TOL(S)	Surface	0.147053103	0	11	7	0	0
H126TOL(S)	Surface	0.006535478	0	11	7	0	0
H134TOL(S)	Surface	0.000257529	0	11	7	0	0
H135TOL(S)	Surface	0.010718543	0	11	7	0	0
H234TOL(S)	Surface	3.56242E-06	0	11	7	0	0
H235TOL(S)	Surface	3.34032E-05	0	11	7	0	0
H236TOL(S)	Surface	0.000978119	0	11	7	0	0
H245TOL(S)	Surface	1.23338E-05	0	11	7	0	0
H246TOL(S)	Surface	6.55841E-06	0	11	7	0	0
H345TOL(S)	Surface	3.11861E-05	0	11	7	0	0
H1234TOL(S)	Surface	2.13904E-07	0	12	7	0	0
H1235TOL(S)	Surface	7.77482E-06	0	12	7	0	0
H1236TOL(S)	Surface	1.01857E-06	0	12	7	0	0
H1245TOL(S)	Surface	4.66865E-07	0	12	7	0	0
H1246TOL(S)	Surface	1.85592E-06	0	12	7	0	0
